instancia,modelo_original_infactible,razon_infactibilidad,num_vehiculos,num_spots,ratio_ev_spots,vehiculos_energia_cero,vehiculos_energia_parcial,vehiculos_con_rechazos,energia_requerida,energia_entregada,energia_no_satisfecha,porcentaje_energia_satisfecha
1,False,Ninguna (modelo factible),32,10,3.2,0,2,2,51.517244429868036,28.0,23.517244429868036,54.35073306010618
10,True,Vehículos con 0 energía,554,30,18.466666666666665,479,25,504,14899.415826726345,610.9579568,14288.457869926347,4.100549739031197
2,False,Ninguna (modelo factible),49,30,1.6333333333333333,0,1,1,26.0297387715397,22.0,4.0297387715397015,84.51871220488113
3,False,Ninguna (modelo factible),21,60,0.35,0,0,0,0.0,0.0,0.0,100.0
4,True,Vehículos con 0 energía,75,20,3.75,7,18,25,913.8706309066009,301.0,612.8706309066007,32.93682823589531
5,True,Vehículos con 0 energía,72,40,1.8,8,12,20,884.0357290165514,418.48380000000003,465.55192901655147,47.33788310406229
6,True,Vehículos con 0 energía,163,80,2.0375,8,3,11,362.6417641154038,66.0,296.6417641154038,18.19977910183471
7,True,Vehículos con 0 energía,289,200,1.445,19,5,24,453.6844149513466,41.136672499999996,412.5477424513466,9.067243913241215
8,True,Vehículos con 0 energía,431,100,4.31,263,2,265,8335.332978876113,54.475252,8280.857726876115,0.6535462007103299
9,True,Vehículos con 0 energía,285,150,1.9,21,6,27,639.6797302755974,68.04872519999999,571.6310050755973,10.637936764180743
